"y0","x"
-3.3,9.8
7.1,-0.8
2.8,3.3
-6.1,13.1
-5.9,12.9
9.1,-3.2
5.9,-0.3
2,3.4
-1.7,6.5
4.6,8.6
2.1,-0.6
14.9,10
-12.1,10.6
0.8,17.7
14.7,15.3
-1.8,17.3
13.6,10.4
5.8,12.3
-5,15.7
1.8,89.6
6.3,19.7
2.8,28.4
-11.6,36.5
3.3,71.6
9.5,28
-2.1,39.1
10.1,29.7
3.4,63.9
3.8,102.7
2.3,215.8
3,35.5
-8.5,25
4,54.7
-17.8,55.8
4,31.5
8,29.9
1.2,33.6
6.6,22
7.3,14.4
7.1,14.6
7.1,8.2
7.6,7.7
7.6,6.3
7.1,6.8
7.1,16.1
6.5,-6.9
6.7,3.5
6.7,2.1
6.7,2.4
6.7,-15.3
6.7,-2.9
6.7,5.8
11,-10.5
9,8.9
10.5,7
7,4.1
14.7,0.6
2.1,5
2.8,11.9
-2.8,5.4
3.5,7.4
2.7,7.9
4.2,4.7
4,9.7
